,Name,Institution1,Institution2
1494,Myrna  Wooders ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
1495,Amihai  Glazer ,"Department of Economics, University of California-Irvine, Irvine, California (USA)",
1496,Engelbert  Stockhammer ,"Department of European and International Studies, King's College London, London, United Kingdom",
1497,Cristiano  Antonelli ,"Dipartimento di Economia e Statistica ""Cognetti de Martiis"", Università degli Studi di Torino, Torino, Italy","Collegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, Italy"
1498,Marc  Hallin ,"European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",
1499,Willi  Semmler Sr.,"Comparative Empirical Macroeconomics (CEM), Department of Economics, New School for Social Research, The New School, New York City, New York (USA)","Center for Empirical Macroeconomics, Fakultät für Wirtschaftswissenschaften, Universität Bielefeld, Bielefeld, Germany"
1500,Richard  Startz ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
1501,Yongmiao  Hong ,"Department of Economics, Cornell University, Ithaca, New York (USA)",
1502,Juan F  Jimeno ,"Banco de España, Madrid, Spain",
1503,Hanno  Lustig ,,
1504,Lones  Smith ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
1505,Gary E. Bolton ,"Laboratory for Economics Management and Auctions (LEMA), Smeal College of Business Administration, Pennsylvania State University, State College, Pennsylvania (USA)",
1506,Paul W. Miller †,,
1507,Jan K. De Loecker ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Department of Economics, Princeton University, Princeton, New Jersey (USA)"
1508,Richard Miller Bird ,"Business Economics, Rotman School of Management, University of Toronto, Toronto, Canada",
1509,Graciela  Chichilnisky ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
1510,Egon  Zakrajsek ,"Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",
1511,Michael W. Klein ,"Fletcher School of Law and Diplomacy, Tufts University, Medford, Massachusetts (USA)",
1512,Herman K. van Dijk ,"Tinbergen Instituut, Amsterdam, Netherlands",
1513,Joseph  Tracy ,"Federal Reserve Bank of Dallas, Dallas, Texas (USA)",
1514,Stephen  Leybourne ,"School of Economics, University of Nottingham, Nottingham, United Kingdom",
1515,Robert M. Stern †,,
1516,Antonio M Merlo ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
1517,Bruno  van Pottelsberghe de la Potterie ,"International Centre for Innovation, Technology and Education Studies (iCite), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",
1518,Giuseppe  Nicoletti ,"Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris, France",
1519,Ilian  Mihov ,"Economic and Political Sciences Area, INSEAD, Fontainebleau, France",
1520,Etienne  Wasmer ,"Economics, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates",
1521,Jianqing  Fan ,"Bendheim Center for Finance, Department of Economics, Princeton University, Princeton, New Jersey (USA)","Department of Economics, Princeton University, Princeton, New Jersey (USA)"
1522,Andrea  Weber ,"Department of Economics and Business, Central European University, Budapest, Hungary",
1523,Albert  Saiz ,"Institute of Labor Economics (IZA), Bonn, Germany","Department of Urban Studies and Planning, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)"
1524,Jens  Hainmueller ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
1525,Andrew F. Newman ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
1526,Colin  Mayer ,"Saïd Business School, Oxford University, Oxford, United Kingdom",
1527,Pierre  Mohnen ,"United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",
1528,Loukas  Karabarbounis ,"Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",
1529,Daniel L Thornton ,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)","Center for Economics and the Environment (CEE), John W. Hammond Institute for Free Enterprise, School of Business and Entrepreneurship, Lindenwood University, St. Charles, Missouri (USA)"
1530,Marco  Lippi ,"Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",
1531,Patrick  Honohan ,"Department of Economics, Trinity College Dublin, Dublin, Ireland",
1532,Walter  Enders ,"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-Tuscaloosa, Tuscaloosa, Alabama (USA)",
1533,Fabio  Ghironi ,"Department of Economics, University of Washington, Seattle, Washington (USA)",
1534,Antonio  Cabrales ,"Department of Economics, University College London (UCL), London, United Kingdom",
1535,John  Strauss ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
1536,Yair  Mundlak ,"Department of Agricultural Economics and Management, Hebrew University of Jerusalem, Rehovot, Israel",
1537,Armen A. Alchian †,,
1538,Allan W. Gregory ,"Economics Department, Queen's University, Kingston, Canada",
1539,Jay C. Shambaugh ,"Department of Economics, George Washington University, Washington, District of Columbia (USA)",
1540,Eli  Berman ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
1541,Michael A. Clemens ,"Center for Global Development (CGD), Washington, District of Columbia (USA)",
1542,David W. Wilcox ,,
1543,Jeffrey A Miron ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
1544,Matthew  Turner ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
1545,Bernard  Salanié ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
1546,Arthur John Robson ,"Department of Economics, Simon Fraser University, Burnaby, Canada",
1547,Nicholas S. Economides ,"Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
1548,Nicholas S Souleles ,"Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
1549,Gregory  Clark ,"Economics Department, University of California-Davis, Davis, California (USA)",
1550,Mehmet  Balcilar ,"Ekonomi Bölümü, İşletme ve Ekonomi Fakültesi, Doğu Akdeniz Üniversitesi, Famagusta, Northern Cyprus",
1551,Robert  Waldmann ,"Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy",
1552,Rafael  Lalive ,"Départment d'économétrie et d'économie politique (DEEP), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, Switzerland",
1553,Charles  Blackorby ,"Department of Economics, University of Warwick, Coventry, United Kingdom",
1554,Virgiliu  Midrigan ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
1555,Anindya  Banerjee ,"Department of Economics, University of Birmingham, Birmingham, United Kingdom",
1556,Larry  Samuelson ,"Economics Department, Yale University, New Haven, Connecticut (USA)",
1557,Chris  Papageorgiou ,"Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",
1558,David  Cass †,,
1559,Klaus  Adam ,"Abteilung für Volkswirtschaftslehre, Universität Mannheim, Mannheim, Germany",
1560,Johannes  Hörner ,"Toulouse School of Economics (TSE), Toulouse, France",
1561,David  Figlio ,"Institute for Policy Research (IPR), Northwestern University, Evanston, Illinois (USA)",
1562,Kevin  McCabe ,"Center for the Study of Neuroeconomics, George Mason University, Fairfax, Virginia (USA)",
1563,Charles Yuji Horioka ,"Research Institute for Economics and Business Administration (RIEB), Kobe University, Kobe, Japan",
1564,Anastasios  Xepapadeas ,"Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy","Department of International and European Economic Studies, Athens University of Economics and Business (AUEB), Athens, Greece"
1565,John  Ries ,"Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",
1566,Frank  Kleibergen ,"Amsterdam School of Economics, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",
1567,George S. Tavlas ,"Bank of Greece, Athens, Greece",
1568,Helmut  Bester ,"Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, Germany",
1569,William S. Vickrey †,,
1570,Joshua  Graff Zivin ,"Graduate School of International Relations and Pacific Studies, University of California-San Diego (UCSD), La Jolla, California (USA)",
1571,F. Thomas Juster †,,
1572,Günter  Coenen ,"European Central Bank, Frankfurt am Main, Germany",
1573,R. Mark Isaac ,"Department of Economics, Florida State University, Tallahassee, Florida (USA)",
1574,Brian M. Lucey ,"School of Business, Trinity College Dublin, Dublin, Ireland",
1575,Prema-chandra  Athukorala ,"Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Canberra, Australia",
1576,Eduardo M.R.A. Engel ,"Facultad de Economía y Negocios, Universidad de Chile, Santiago, Chile",
1577,Jack  Knetsch ,"Department of Economics, Simon Fraser University, Burnaby, Canada",
1578,Anthony Philip Thirlwall ,"School of Economics, University of Kent, Canterbury, United Kingdom",
1579,Rosa Liliana Matzkin ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
1580,Price Vanmeter Fishback ,"Economics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
1581,John Forrest Kain †,,
1582,Nancy  Qian ,"Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",
1583,Vernon W. Ruttan †,,
1584,Kazuo  Nishimura ,"Research Institute for Economics and Business Administration (RIEB), Kobe University, Kobe, Japan",
1585,Alicia Haydock Munnell ,"Center for Retirement Research (CRR), Boston College, Chestnut Hill, Massachusetts (USA)",
1586,Richard C. Green †,,
1587,John Christopher Ham ,"Economics, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates",
1588,Gershon  Feder ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1589,Francisco H. G. Ferreira ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1590,Eddy K.A. Van Doorslaer ,"Erasmus School of Health Policy &amp; Management, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",
1591,Paolo  Surico ,"Department of Economics, London Business School (LBS), London, United Kingdom",
1592,Dan  Levin ,"Department of Economics, Ohio State University, Columbus, Ohio (USA)",
1593,João Pedro  Azevedo ,"World Bank Group, Washington, District of Columbia (USA)",
1594,Kamil  Yilmaz ,"İktisat Bölümü, İktisadi ve İdari Bilimler Fakültesi, Koç Üniversitesi, İstanbul, Turkey",
1595,Andrew  Foster ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
1596,David A. Green ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
1597,Clifford M. Winston ,"Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",
1598,Chen  Lin ,"Faculty of Business and Economics, University of Hong Kong, Pokfulam, Hong Kong",
1599,Joel  Watson ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
1600,Daniel L. Millimet ,"Department of Economics, Southern Methodist University, Dallas, Texas (USA)",
1601,Barry T. Hirsch ,"Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",
1602,Alex  Edmans ,"Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
1603,Claudia  Kemfert ,"DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",
1604,Marco  Francesconi ,"Economics Department, University of Essex, Colchester, United Kingdom",
1605,Dermot James Hayes ,"College of Business, Iowa State University, Ames, Iowa (USA)",
1606,Jarrad  Harford ,"Michael G. Foster School of Business, University of Washington, Seattle, Washington (USA)",
1607,Matthew Buford Canzoneri ,"Economics Department, Georgetown University, Washington, District of Columbia (USA)",
1608,Federico  Sturzenegger ,"Departamento de Economía, Universidad de San Andrés, Buenos Aires, Argentina",
1609,Roman  Horvath ,"Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",
1610,Gerard  Caprio Jr.,"Economics Department, Williams College, Williamstown, Massachusetts (USA)",
1611,Thomas Fox Rutherford ,"Department of Agricultural &amp; Applied Economics, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
1612,Les  Oxley ,"Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",
1613,Solomon William Polachek ,"Department of Economics, State University of New York-Binghamton (SUNY), Binghamton, New York (USA)",
1614,Koen  Frenken ,"Copernicus Institute for Sustainable Development and Innovation, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",
1615,Yongmin  Chen ,"Department of Economics, University of Colorado, Boulder, Colorado (USA)",
1616,Casper G. de Vries ,"Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",
1617,Nora Claudia Lustig ,"Department of Economics, Tulane University, New Orleans, Louisiana (USA)",
1618,Kenneth R. Troske ,"Institute of Labor Economics (IZA), Bonn, Germany","Department of Economics, Carol Martin Gatton College of Business and Economics, University of Kentucky, Lexington, Kentucky (USA)"
1619,William F. Maloney ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1620,Kevin Allen Hassett ,"American Enterprise Institute, Washington, District of Columbia (USA)",
1621,Barry P. Bosworth ,"Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",
1622,Francesco  Lippi ,"Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy","Dipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS), Roma, Italy"
1623,Joon Y. Park ,"Department of Economics, Indiana University, Bloomington, Indiana (USA)",
1624,Yona  Rubinstein ,"London School of Economics (LSE), London, United Kingdom",
1625,Maria-Carmen  Guisan ,"Econometria, Facultade de Ciencias Económicas e Empresariais, Universidade de Santiago de Compostela, Santiago de Compostela, Spain",
1626,Marc P. Giannoni ,"Federal Reserve Bank of Dallas, Dallas, Texas (USA)","Economic Research Department, Federal Reserve Bank of Dallas, Dallas, Texas (USA)"
1627,Gilbert  Cette ,"Banque de France, Paris, France",
1628,Gordon M. Phillips ,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",
1629,Dale O. Stahl II,"Department of Economics, University of Texas-Austin, Austin, Texas (USA)",
1630,Kalina  Manova ,"Department of Economics, University College London (UCL), London, United Kingdom",
1631,Mario John Crucini ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
1632,Rajeev  Dehejia ,"Wagner Graduate School of Public Service, New York University (NYU), New York City, New York (USA)",
1633,Stephen  Ross ,"Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",
1634,Jean-Yves  Duclos ,"Centre de Recherche sur les Risques, les Enjeux Économiques et les Politiques Publiques (CRREP), Montréal/Québec, Canada","Département d'Économique, Université Laval, Québec, Canada"
1635,Moritz  Schularick ,"Wirtschaftswissenschaftlicher Fachbereich, Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",
1636,Michael R. Roberts ,"Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
1637,Roman M. Sheremeta ,"Department of Economics, Weatherhead School of Management, Case Western Reserve University, Cleveland, Ohio (USA)",
1638,Valérie  Mignon ,"EconomiX, Université Paris-Nanterre (Paris X), Nanterre, France",
1639,Christian  Lundblad ,"Kenan Flagler Business School, University of North Carolina-Chapel-Hill, Chapel Hill, North Carolina (USA)",
1640,Carlo  Carraro ,"Dipartimento di Economia, Università Ca' Foscari Venezia, Venezia, Italy",
1641,Oleg  Itskhoki ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
1642,Marcelo  Olarreaga ,"Geneva School of Economics and Management, Université de Genève, Genève, Switzerland",
1643,Toke S Aidt ,"Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",
1644,Claude  d'Aspremont ,"Center for Operations Research and Econometrics (CORE), École des Sciences Économiques de Louvain, Université Catholique de Louvain, Louvain-la-Neuve, Belgium",
1645,Hans Peter Binswanger-Mkhize †,,
1646,B  Ravikumar ,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",
1647,Peter J. Montiel ,"Economics Department, Williams College, Williamstown, Massachusetts (USA)",
1648,Jeffrey  Carpenter ,"Department of Economics, Middlebury College, Middlebury, Vermont (USA)",
1649,Francis  Vella ,"Economics Department, Georgetown University, Washington, District of Columbia (USA)",
1650,Mark  Steel ,"Department of Statistics, University of Warwick, Coventry, United Kingdom",
1651,Magnus  Blomstrom ,"The European Institute of Japanese Studies, Handelshögskolan i Stockholm, Stockholm, Sweden",
1652,Benjamin F. Jones ,"Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",
1653,Eckhard  Hein ,"Fachbereich Wirtschaftswissenschaften, Hochschule für Wirtschaft und Recht, Berlin, Germany",
1654,Edward M. Gramlich †,,
1655,Joan  Esteban ,"Institut d'Anàlisi Econòmica CSIC (IAE-CSIC), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1656,Douglas J. Cumming ,"Schulich School of Business, York University, Toronto, Canada",
1657,Stergios  Skaperdas ,"Department of Economics, University of California-Irvine, Irvine, California (USA)",
1658,David B. Gordon ,"Rochester Center for Economic Research (RCER), University of Rochester, Rochester, New York (USA)",
1659,Massimo  Morelli ,"Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy","""Carlo F. Dondena"" Centre for Research on Social Dynamics (DONDENA), Università Commerciale Luigi Bocconi, Milano, Italy"
1660,Jun  Pan ,"Shanghai Advanced Institute of Finance (SAIF), Shanghai Jiao Tong University, Shanghai, China",
1661,Donghyun  Park ,"Asian Development Bank, Manila, Philippines",
1662,Richard A. Posner ,,
1663,James  Albrecht ,"Economics Department, Georgetown University, Washington, District of Columbia (USA)",
1664,Alessandro  Lizzeri ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
1665,Tomas  Havranek ,"Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",
1666,Javier  Miranda ,"Census Bureau, Department of Commerce, Government of the United States, Washington, District of Columbia (USA)",
1667,Louis  Eeckhoudt ,"Lille Économie et Management (LEM), France",
1668,Sidney  Winter ,"Management Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
1669,Hanan  Jacoby ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1670,Catherine J. Morrison Paul †,,
1671,Daniele  Checchi ,"Dipartimento di Economia, Management e Metodi Quantitativi (DEMM), Università degli Studi di Milano, Milano, Italy",
1672,Soyoung  Kim ,"Division of Economics, Seoul National University, Seoul, South Korea",
1673,Jean-Michel  Grandmont ,"Centre de Recherche en Économie et Statistique (CREST), France",
1674,Luca  Lambertini ,"Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy",
1675,Sourafel  Girma ,"School of Economics, University of Nottingham, Nottingham, United Kingdom",
1676,Peter J Hammond ,"Department of Economics, University of Warwick, Coventry, United Kingdom",
1677,Fredrik  Carlsson ,"Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden",
1678,Thierry  Foucault ,"Départment de Finance et Économie, HEC Paris (École des Hautes Études Commerciales), Jouy-en-Josas, France",
1679,Martin  Gaynor ,"H. John Heinz III School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",
1680,Emily  Oster ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
1681,Thomas H. Noe ,"Saïd Business School, Oxford University, Oxford, United Kingdom",
1682,Gur  Huberman ,"Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",
1683,Ilan  Noy ,"School of Economics and Finance, Victoria Business School, Victoria University of Wellington, Wellington, New Zealand",
1684,Thomas F. Crossley ,"Economics Department, University of Essex, Colchester, United Kingdom",
1685,Martin  Sefton ,"School of Economics, University of Nottingham, Nottingham, United Kingdom","Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom"
1686,William A. Pizer ,"Sanford School of Public Policy, Duke University, Durham, North Carolina (USA)",
1687,Naci H. Mocan ,"Department of Economics, Ourso College of Business, Louisiana State University, Baton Rouge, Louisiana (USA)",
1688,Carolyn  Fischer ,"Resources for the Future (RFF), Washington, District of Columbia (USA)",
1689,Frank  Levy ,"Department of Urban Studies and Planning, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
1690,Enrico  Perotti ,"Finance Group, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",
1691,Elisabet  Rutstrom ,"J. Mack Robinson College of Business, Georgia State University, Atlanta, Georgia (USA)",
1692,David C Wheelock ,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",
1693,Timothy James Coelli ,"Centre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia",
1694,Laurens  Cherchye ,"Centrum voor Economische Studiën, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",
1695,Yew-Kwang  Ng ,"Division of Economics, Nanyang Technological University, Singapore, Singapore",
1696,B. Espen Eckbo ,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",
1697,Vikram  Nanda ,"Business, Rutgers University-Newark, Newark, New Jersey (USA)",
1698,Richard Evans Romano ,"Warrington College of Business, University of Florida, Gainesville, Florida (USA)",
1699,Steven A. Sharpe ,"Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",
1700,Greg John Duncan ,,
1701,Thomas  Hellmann ,"Saïd Business School, Oxford University, Oxford, United Kingdom",
1702,Ronald Leonard Martin ,,
1703,Michael  Pfaffermayr ,"Fakultät für Volkswirtschaft und Statistik, Leopold-Franzens-Universität Innsbruck, Innsbruck, Austria",
1704,Aman  Ullah ,"Department of Economics, University of California-Riverside, Riverside, California (USA)",
1705,Suleyman  Basak ,"London Business School (LBS), London, United Kingdom",
1706,Jeffrey M. Perloff ,"Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",
1707,Adriana  Kugler ,"McCourt School of Public Policy, Georgetown University, Washington, District of Columbia (USA)",
1708,Robert W. Rosenthal †,,
1709,Fabrice  Collard ,"Toulouse School of Economics (TSE), Toulouse, France",
1710,Charles H. Whiteman ,"Smeal College of Business Administration, Pennsylvania State University, State College, Pennsylvania (USA)",
1711,Guofu  Zhou ,"Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)","China Economics and Management Academy, Central University of Finance and Economics (CUFE), Beijing, China"
1712,Lyn  Squire ,,
1713,Judith Ann Chevalier ,"School of Management, Yale University, New Haven, Connecticut (USA)",
1714,Barbara  Spencer ,"Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",
1715,Lixin Colin Xu ,"World Bank Group, Washington, District of Columbia (USA)","Economics Research, World Bank Group, Washington, District of Columbia (USA)"
1716,Ran  Spiegler ,"Department of Economics, University College London (UCL), London, United Kingdom","Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel"
1717,Kathryn  Shaw ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
1718,Robert F Tamura ,"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson University, Clemson, South Carolina (USA)",
1719,John S. Heywood ,"Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",
1720,Samuel  Bentolila ,"Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",
1721,Deborah J. Lucas ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
1722,David  Levine ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
1723,Zheng  Liu ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",
1724,Jun  Yu ,"School of Economics, Singapore Management University, Singapore, Singapore",
1725,Sylvain  Leduc ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",
1726,Salvador  Barberà ,"Unitat de Fonaments de l'Anàlisi Econòmica, Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1727,Nir  Jaimovich ,"UBS International Center of Economics in Society, Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",
1728,Michael Olaf Hoel ,"Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",
1729,Neil  Wallace ,"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",
1730,Esfandiar  Maasoumi ,"Department of Economics, Emory University, Atlanta, Georgia (USA)",
1731,Iain M. Cockburn ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Department of Strategy and Innovation, Questrom School of Business, Boston University, Boston, Massachusetts (USA)"
1732,Christian  Dreger ,"DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",
1733,Jacques  Melitz ,"Centre d'études prospectives et d'informations internationales (CEPII), Paris, France","Centre de Recherche en Économie et Statistique (CREST), France"
1734,Moshe  Buchinsky ,,
1735,Ada  Ferrer-i-Carbonell ,"Institut d'Anàlisi Econòmica CSIC (IAE-CSIC), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1736,Eric W. Bond ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
1737,Pietro F. Peretto ,"Department of Economics, Duke University, Durham, North Carolina (USA)",
1738,Brian R. Copeland ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
1739,Dennis C. Mueller ,"Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",
1740,Justus  Haucap ,"Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",
1741,Jan  Eeckhout ,"Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1742,François-Charles  Wolff ,"Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA), Institut d'Économie et de Management de Nantes (IAE), Université de Nantes, Nantes, France",
1743,Agnes Reynes Quisumbing ,"International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",
1744,Alejandro  Justiniano †,,
1745,Keijiro  Otsuka ,"Faculty of Economics, Kobe University, Kobe, Japan",
1746,Francisco J. Ruge-Murcia ,"Department of Economics, McGill University, Montréal, Canada",
1747,Franz C. Palm ,"Vakgroep Kwantitatieve Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",
1748,Jean-Pierre  Danthine ,"Paris School of Economics, Paris, France",
1749,Stephen F. LeRoy ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
1750,Laurent E. Calvet ,"Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord), Lille/Paris, France",
1751,Massimo  Motta ,"Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1752,Miguel A. Ferreira ,"School of Business and Economics, Universidade Nova de Lisboa, Lisboa, Portugal",
1753,Ronald Demos Lee ,"Center on the Economics and Demography of Aging (CEDA), University of California-Berkeley, Berkeley, California (USA)",
1754,Gebhard  Kirchgässner †,,
1755,Sanjaya  Lall †,,
1756,Thomas J Chemmanur ,"Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts (USA)",
1757,Marco E. Terrones ,"Departamento Académico de Economía, Universidad del Pacífico, Lima, Peru",
1758,Bernd  Hayo ,"Volkswirtschaft Abteilung, Fachbereich Wirtschaftswissenschaften, Philipps-Universität Marburg, Marburg, Germany",
1759,Giacomo  Corneo ,"Abteilung Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, Germany",
1760,Michael  Bleaney ,"School of Economics, University of Nottingham, Nottingham, United Kingdom",
1761,Alan L. Gustman ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
